,Compression Depth,dwt_type,Mean Error,Max Error
0,27,Quantization,0.4999999068677454,0.9999997749296491
1,26,Quantization,0.24999996647238756,0.9993292996591401
2,25,Quantization,0.12499999627471137,0.9640275758646993
3,24,Quantization,0.06250001117587138,0.7615941309233423
4,23,Quantization,0.031250018626452214,0.46211713552474976
5,22,Quantization,0.015625022351742682,0.24491864442825317
6,21,Quantization,0.007812524214387757,0.12435299158096313
7,20,Quantization,0.003906275145710343,0.06241869926452637
8,19,Quantization,0.0019531506113716346,0.031239807605743408
9,18,Quantization,0.0009765883442022815,0.015623688697814941
10,17,Quantization,0.0004883072106176115,0.007812321186065674
11,16,Quantization,0.0002441666438252647,0.0039061903953552246
12,15,Quantization,0.00012209636042909752,0.0019531051328158114
13,14,Quantization,6.10612187310127e-05,0.0009765600167042899
14,13,Quantization,3.0543647881969796e-05,0.0004882809396161001
15,12,Quantization,1.528486245744887e-05,0.00024414058620910557
16,11,Quantization,7.655469745188277e-06,0.00012207030765291354
17,10,Quantization,3.840773389058001e-06,6.103515564455795e-05
18,9,Quantization,1.9334252109928448e-06,3.05175780494306e-05
19,8,Quantization,9.797511219602602e-07,1.5258789053081498e-05
20,7,Quantization,5.029140774439728e-07,7.629394530079585e-06
21,6,Quantization,2.6449555518583097e-07,3.8146972654804123e-06
22,5,Quantization,1.4528629405675693e-07,1.9073486327948504e-06
23,4,Quantization,8.568166349222083e-08,9.53674316404147e-07
24,3,Quantization,5.587934820995372e-08,4.7683715820288677e-07
25,2,Quantization,4.0978190568819754e-08,2.3841857910153825e-07
26,1,Quantization,3.352761174825312e-08,1.1920928955077934e-07
27,27,Haar,0.12869662167180054,0.913356602191925
28,26,Haar,0.09968749641412837,0.8267970085144043
29,25,Haar,0.061699565240828376,0.662501335144043
30,24,Haar,0.03150586288039191,0.43378084897994995
31,23,Haar,0.015660689997229776,0.24022901058197021
32,22,Haar,0.007817005195199069,0.1237192153930664
33,21,Haar,0.00390681506401047,0.06233793497085571
34,20,Haar,0.0019531973944019072,0.031229674816131592
35,19,Haar,0.0009765743204419941,0.015622437000274658
36,18,Haar,0.0004882867248319982,0.007812201976776123
37,17,Haar,0.00024414639370925795,0.0039061903953552246
38,16,Haar,0.00012207723866043782,0.001953125
39,15,Haar,6.104336219459794e-05,0.0009765649837504562
40,14,Haar,3.052709247454074e-05,0.0004883011190031589
41,13,Haar,1.5269586483643103e-05,0.0002441614263286162
42,12,Haar,7.641473901607789e-06,0.00012209664818477357
43,11,Haar,3.8280773560058406e-06,6.106344610576006e-05
44,10,Haar,1.922022187930483e-06,3.054647181284682e-05
45,9,Haar,9.696407135325692e-07,1.5288274086682624e-05
46,8,Haar,4.941057115023472e-07,7.658906546553768e-06
47,7,Haar,2.5698614298547117e-07,3.844362555002756e-06
48,6,Haar,1.3909017086263746e-07,1.9370903636692707e-06
49,5,Haar,8.080713329171121e-08,9.83454219160955e-07
50,4,Haar,5.234571079482779e-08,5.066261436238728e-07
51,3,Haar,3.8814497194082633e-08,2.6820829656694356e-07
52,2,Haar,3.275401687199927e-08,1.4900826605067363e-07
53,1,Haar,3.042222561470107e-08,8.940600492151479e-08
54,27,Bior-2.2,0.35538257254615696,0.6896907731757096
55,26,Bior-2.2,0.1722883612008949,0.4916310915555674
56,25,Bior-2.2,0.04590880160863563,0.2404327312386828
57,24,Bior-2.2,0.006457616361838489,0.05895364784891588
58,23,Bior-2.2,0.001149575984583705,0.013158252769418788
59,22,Bior-2.2,0.0002600803861316932,0.0038692015534994573
60,21,Bior-2.2,6.330225860777986e-05,0.0009933922900889902
61,20,Bior-2.2,1.5716004463298505e-05,0.00024988244259505077
62,19,Bior-2.2,3.930528733327452e-06,6.268310139034838e-05
63,18,Bior-2.2,9.93715311653108e-07,1.573379324493196e-05
64,17,Bior-2.2,2.6215376277038254e-07,3.99324691713332e-06
65,16,Bior-2.2,8.166985336482166e-08,1.0585349489167228e-06
66,15,Bior-2.2,3.956192554860874e-08,3.2771976943291037e-07
67,14,Bior-2.2,3.2436615380479035e-08,1.533323622515681e-07
68,13,Bior-2.2,3.195376827926017e-08,1.2214757583173252e-07
69,12,Bior-2.2,3.197511330030165e-08,1.193316143191514e-07
70,11,Bior-2.2,3.213155267834617e-08,1.1913553617758088e-07
71,10,Bior-2.2,3.211896332257377e-08,1.1920928955078125e-07
72,9,Bior-2.2,3.2559362205392735e-08,1.1915480753270889e-07
73,8,Bior-2.2,3.2296763519569145e-08,1.1920928955078125e-07
74,7,Bior-2.2,3.3430901091485827e-08,1.1899020241638771e-07
75,6,Bior-2.2,3.242896364299626e-08,1.1920928955078125e-07
76,5,Bior-2.2,3.52114266069422e-08,1.191612854439068e-07
77,4,Bior-2.2,3.233557118380213e-08,1.1920928955078125e-07
78,3,Bior-2.2,3.891081563932106e-08,1.1918779259427687e-07
79,2,Bior-2.2,3.1840879875047574e-08,1.1920928955078125e-07
80,1,Bior-2.2,5.046305716133634e-08,0.9999998345342939
